             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.500000	                  10	            0.300000	            3.500000	                  20
            0.500000	                   5	            0.300000	            3.500000	                  20
            0.500000	                  15	            0.300000	            3.500000	                  20
            0.500000	                  20	            0.300000	            3.500000	                  20
            0.500000	                  25	            0.300000	            3.500000	                  20
            0.500000	                  30	            0.300000	            3.500000	                  20
            0.500000	                  35	            0.300000	            3.500000	                  20
            0.500000	                  40	            0.300000	            3.500000	                  20
            0.500000	                  45	            0.300000	            3.500000	                  20
            0.500000	                   4	            0.300000	            3.500000	                  20
            0.500000	                   3	            0.300000	            3.500000	                  20
            0.500000	                   2	            0.300000	            3.500000	                  19
            0.500000	                   1	            0.300000	            3.500000	                  19
            0.500000	                  27	            0.300000	            3.500000	                  20
            0.500000	                  27	            0.300000	            3.500000	                  20
