             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.500000	                  10	            0.300000	            3.500000	                   3
            0.500000	                  10	            0.300000	            3.500000	                   3
            0.500000	                  10	            0.300000	            3.500000	                   3
            0.500000	                  10	            0.300000	            3.500000	                   3
            0.250000	                  10	            0.300000	            3.500000	                   9
            0.300000	                  10	            0.300000	            3.500000	                  10
            0.350000	                  10	            0.300000	            3.500000	                   9
            0.400000	                  10	            0.300000	            3.500000	                   7
            0.450000	                  10	            0.300000	            3.500000	                   6
            0.250000	                  10	            0.300000	            3.500000	                   3
            0.275000	                  10	            0.300000	            3.500000	                   3
            0.300000	                  10	            0.300000	            3.500000	                   3
            0.325000	                  10	            0.300000	            3.500000	                   3
            0.350000	                  10	            0.300000	            3.500000	                   3
            0.375000	                  10	            0.300000	            3.500000	                   3
            0.400000	                  10	            0.300000	            3.500000	                   3
            0.425000	                  10	            0.300000	            3.500000	                   3
            0.450000	                  10	            0.300000	            3.500000	                   3
            0.475000	                  10	            0.300000	            3.500000	                   3
            0.500000	                  10	            0.300000	            3.500000	                   3
            0.525000	                  10	            0.300000	            3.500000	                   3
            0.550000	                  10	            0.300000	            3.500000	                   3
            0.575000	                  10	            0.300000	            3.500000	                   3
            0.600000	                  10	            0.300000	            3.500000	                   3
            0.625000	                  10	            0.300000	            3.500000	                   4
            0.650000	                  10	            0.300000	            3.500000	                   5
            0.675000	                  10	            0.300000	            3.500000	                   9
            0.700000	                  10	            0.300000	            3.500000	                  15
            0.725000	                  10	            0.300000	            3.500000	                  17
            0.750000	                  10	            0.300000	            3.500000	                  31
            0.775000	                  10	            0.300000	            3.500000	                  48
            0.800000	                  10	            0.300000	            3.500000	                  85
            0.825000	                  10	            0.300000	            3.500000	                 131
            0.850000	                  10	            0.300000	            3.500000	                 185
            0.550000	                  10	            0.300000	            3.500000	                   3
