             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.250000	                   5	            0.300000	            3.500000	                   2
            0.350000	                   5	            0.300000	            3.500000	                   4
            0.450000	                   5	            0.300000	            3.500000	                   5
            0.550000	                   5	            0.300000	            3.500000	                   9
            0.650000	                   5	            0.300000	            3.500000	                  21
            0.250000	                  10	            0.300000	            3.500000	                   2
            0.350000	                  10	            0.300000	            3.500000	                   4
            0.450000	                  10	            0.300000	            3.500000	                   4
            0.550000	                  10	            0.300000	            3.500000	                   8
            0.650000	                  10	            0.300000	            3.500000	                  21
            0.250000	                  15	            0.300000	            3.500000	                   2
            0.350000	                  15	            0.300000	            3.500000	                   4
            0.450000	                  15	            0.300000	            3.500000	                   4
            0.550000	                  15	            0.300000	            3.500000	                   8
            0.650000	                  15	            0.300000	            3.500000	                  22
            0.250000	                  20	            0.300000	            3.500000	                   2
            0.350000	                  20	            0.300000	            3.500000	                   4
            0.450000	                  20	            0.300000	            3.500000	                   4
            0.550000	                  20	            0.300000	            3.500000	                   8
            0.650000	                  20	            0.300000	            3.500000	                  25
            0.250000	                  25	            0.300000	            3.500000	                   2
            0.350000	                  25	            0.300000	            3.500000	                   4
            0.450000	                  25	            0.300000	            3.500000	                   4
            0.550000	                  25	            0.300000	            3.500000	                   8
            0.650000	                  25	            0.300000	            3.500000	                  24
            0.250000	                  30	            0.300000	            3.500000	                   2
            0.350000	                  30	            0.300000	            3.500000	                   3
            0.450000	                  30	            0.300000	            3.500000	                   4
            0.550000	                  30	            0.300000	            3.500000	                   8
            0.650000	                  30	            0.300000	            3.500000	                  23
            0.250000	                  35	            0.300000	            3.500000	                   2
            0.350000	                  35	            0.300000	            3.500000	                   3
            0.450000	                  35	            0.300000	            3.500000	                   4
            0.550000	                  35	            0.300000	            3.500000	                   8
            0.650000	                  35	            0.300000	            3.500000	                  21
            0.250000	                  40	            0.300000	            3.500000	                   2
            0.350000	                  40	            0.300000	            3.500000	                   3
            0.450000	                  40	            0.300000	            3.500000	                   4
            0.550000	                  40	            0.300000	            3.500000	                   8
            0.650000	                  40	            0.300000	            3.500000	                  21
            0.250000	                   5	            0.300000	            3.500000	                   2
            0.350000	                   5	            0.300000	            3.500000	                   4
            0.450000	                   5	            0.300000	            3.500000	                   5
            0.550000	                   5	            0.300000	            3.500000	                   9
            0.650000	                   5	            0.300000	            3.500000	                  21
            0.750000	                   5	            0.300000	            3.500000	                  85
            0.250000	                  10	            0.300000	            3.500000	                   2
            0.350000	                  10	            0.300000	            3.500000	                   4
            0.450000	                  10	            0.300000	            3.500000	                   4
            0.550000	                  10	            0.300000	            3.500000	                   8
            0.650000	                  10	            0.300000	            3.500000	                  21
            0.750000	                  10	            0.300000	            3.500000	                  70
            0.250000	                  15	            0.300000	            3.500000	                   2
            0.350000	                  15	            0.300000	            3.500000	                   4
            0.450000	                  15	            0.300000	            3.500000	                   4
            0.550000	                  15	            0.300000	            3.500000	                   8
            0.650000	                  15	            0.300000	            3.500000	                  22
            0.750000	                  15	            0.300000	            3.500000	                  73
            0.250000	                  20	            0.300000	            3.500000	                   2
            0.350000	                  20	            0.300000	            3.500000	                   4
            0.450000	                  20	            0.300000	            3.500000	                   4
            0.550000	                  20	            0.300000	            3.500000	                   8
            0.650000	                  20	            0.300000	            3.500000	                  25
            0.750000	                  20	            0.300000	            3.500000	                  75
            0.250000	                  25	            0.300000	            3.500000	                   2
            0.350000	                  25	            0.300000	            3.500000	                   4
            0.450000	                  25	            0.300000	            3.500000	                   4
            0.550000	                  25	            0.300000	            3.500000	                   8
            0.650000	                  25	            0.300000	            3.500000	                  24
            0.750000	                  25	            0.300000	            3.500000	                  85
            0.250000	                  30	            0.300000	            3.500000	                   2
            0.350000	                  30	            0.300000	            3.500000	                   3
            0.450000	                  30	            0.300000	            3.500000	                   4
            0.550000	                  30	            0.300000	            3.500000	                   8
            0.650000	                  30	            0.300000	            3.500000	                  23
            0.750000	                  30	            0.300000	            3.500000	                  86
            0.250000	                  35	            0.300000	            3.500000	                   2
            0.350000	                  35	            0.300000	            3.500000	                   3
            0.450000	                  35	            0.300000	            3.500000	                   4
            0.550000	                  35	            0.300000	            3.500000	                   8
            0.650000	                  35	            0.300000	            3.500000	                  21
            0.750000	                  35	            0.300000	            3.500000	                  88
            0.250000	                  40	            0.300000	            3.500000	                   2
            0.350000	                  40	            0.300000	            3.500000	                   3
            0.450000	                  40	            0.300000	            3.500000	                   4
            0.550000	                  40	            0.300000	            3.500000	                   8
            0.650000	                  40	            0.300000	            3.500000	                  21
            0.750000	                  40	            0.300000	            3.500000	                  89
            0.200000	                   2	            0.300000	            3.500000	                   1
            0.300000	                   2	            0.300000	            3.500000	                   3
            0.400000	                   2	            0.300000	            3.500000	                   4
            0.500000	                   2	            0.300000	            3.500000	                   6
            0.600000	                   2	            0.300000	            3.500000	                  16
            0.700000	                   2	            0.300000	            3.500000	                  50
            0.200000	                   7	            0.300000	            3.500000	                   0
            0.300000	                   7	            0.300000	            3.500000	                   2
            0.400000	                   7	            0.300000	            3.500000	                   4
            0.500000	                   7	            0.300000	            3.500000	                   6
            0.600000	                   7	            0.300000	            3.500000	                  12
            0.700000	                   7	            0.300000	            3.500000	                  39
            0.200000	                  12	            0.300000	            3.500000	                   0
            0.300000	                  12	            0.300000	            3.500000	                   2
            0.400000	                  12	            0.300000	            3.500000	                   4
            0.500000	                  12	            0.300000	            3.500000	                   6
            0.600000	                  12	            0.300000	            3.500000	                  12
            0.700000	                  12	            0.300000	            3.500000	                  34
            0.200000	                  17	            0.300000	            3.500000	                   0
            0.300000	                  17	            0.300000	            3.500000	                   2
            0.400000	                  17	            0.300000	            3.500000	                   4
            0.500000	                  17	            0.300000	            3.500000	                   6
            0.600000	                  17	            0.300000	            3.500000	                  13
