             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.250000	                   5	            0.300000	            3.500000	                   2
            0.350000	                   5	            0.300000	            3.500000	                   8
            0.450000	                   5	            0.300000	            3.500000	                  16
            0.550000	                   5	            0.300000	            3.500000	                  18
            0.650000	                   5	            0.300000	            3.500000	                  25
            0.250000	                  10	            0.300000	            3.500000	                   1
            0.350000	                  10	            0.300000	            3.500000	                   6
            0.450000	                  10	            0.300000	            3.500000	                  13
            0.550000	                  10	            0.300000	            3.500000	                  16
            0.650000	                  10	            0.300000	            3.500000	                  22
            0.250000	                  15	            0.300000	            3.500000	                   3
            0.350000	                  15	            0.300000	            3.500000	                   6
            0.450000	                  15	            0.300000	            3.500000	                  16
            0.550000	                  15	            0.300000	            3.500000	                  17
            0.650000	                  15	            0.300000	            3.500000	                  23
            0.250000	                  20	            0.300000	            3.500000	                   3
            0.350000	                  20	            0.300000	            3.500000	                   7
            0.450000	                  20	            0.300000	            3.500000	                  16
            0.550000	                  20	            0.300000	            3.500000	                  17
            0.650000	                  20	            0.300000	            3.500000	                  25
            0.250000	                  25	            0.300000	            3.500000	                   3
            0.350000	                  25	            0.300000	            3.500000	                   9
            0.450000	                  25	            0.300000	            3.500000	                  16
            0.550000	                  25	            0.300000	            3.500000	                  17
            0.650000	                  25	            0.300000	            3.500000	                  27
            0.250000	                  30	            0.300000	            3.500000	                   3
            0.350000	                  30	            0.300000	            3.500000	                   9
            0.450000	                  30	            0.300000	            3.500000	                  16
            0.550000	                  30	            0.300000	            3.500000	                  17
            0.650000	                  30	            0.300000	            3.500000	                  26
            0.250000	                  35	            0.300000	            3.500000	                   3
            0.350000	                  35	            0.300000	            3.500000	                  10
            0.450000	                  35	            0.300000	            3.500000	                  16
            0.550000	                  35	            0.300000	            3.500000	                  17
            0.650000	                  35	            0.300000	            3.500000	                  27
            0.250000	                  40	            0.300000	            3.500000	                   4
            0.350000	                  40	            0.300000	            3.500000	                  10
            0.450000	                  40	            0.300000	            3.500000	                  16
            0.550000	                  40	            0.300000	            3.500000	                  17
            0.650000	                  40	            0.300000	            3.500000	                  26
            0.250000	                   5	            0.300000	            3.500000	                   2
            0.350000	                   5	            0.300000	            3.500000	                   8
            0.450000	                   5	            0.300000	            3.500000	                  16
            0.550000	                   5	            0.300000	            3.500000	                  18
            0.650000	                   5	            0.300000	            3.500000	                  25
            0.250000	                  10	            0.300000	            3.500000	                   1
            0.350000	                  10	            0.300000	            3.500000	                   6
            0.450000	                  10	            0.300000	            3.500000	                  13
            0.550000	                  10	            0.300000	            3.500000	                  16
            0.650000	                  10	            0.300000	            3.500000	                  22
            0.250000	                  15	            0.300000	            3.500000	                   3
            0.350000	                  15	            0.300000	            3.500000	                   6
            0.450000	                  15	            0.300000	            3.500000	                  16
            0.550000	                  15	            0.300000	            3.500000	                  17
            0.650000	                  15	            0.300000	            3.500000	                  23
            0.250000	                  20	            0.300000	            3.500000	                   3
            0.350000	                  20	            0.300000	            3.500000	                   7
            0.450000	                  20	            0.300000	            3.500000	                  16
            0.550000	                  20	            0.300000	            3.500000	                  17
            0.650000	                  20	            0.300000	            3.500000	                  25
            0.250000	                  25	            0.300000	            3.500000	                   3
            0.350000	                  25	            0.300000	            3.500000	                   9
            0.450000	                  25	            0.300000	            3.500000	                  16
            0.550000	                  25	            0.300000	            3.500000	                  17
            0.650000	                  25	            0.300000	            3.500000	                  27
            0.250000	                  30	            0.300000	            3.500000	                   3
            0.350000	                  30	            0.300000	            3.500000	                   9
            0.450000	                  30	            0.300000	            3.500000	                  16
            0.550000	                  30	            0.300000	            3.500000	                  17
            0.650000	                  30	            0.300000	            3.500000	                  26
            0.250000	                  35	            0.300000	            3.500000	                   3
            0.350000	                  35	            0.300000	            3.500000	                  10
            0.450000	                  35	            0.300000	            3.500000	                  16
            0.550000	                  35	            0.300000	            3.500000	                  17
            0.650000	                  35	            0.300000	            3.500000	                  27
            0.250000	                  40	            0.300000	            3.500000	                   4
            0.350000	                  40	            0.300000	            3.500000	                  10
            0.450000	                  40	            0.300000	            3.500000	                  16
            0.550000	                  40	            0.300000	            3.500000	                  17
            0.650000	                  40	            0.300000	            3.500000	                  26
