             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.500000	                  10	            0.300000	            3.500000	                   2
            0.500000	                  10	            0.300000	            3.500000	                   2
            0.500000	                  10	            0.300000	            3.500000	                   2
            0.500000	                  10	            0.300000	            3.500000	                   2
            0.500000	                  10	            0.300000	            3.500000	                   2
            0.500000	                  10	            0.300000	            3.500000	                   2
            0.250000	                   1	            0.300000	            3.500000	                   2
            0.350000	                   1	            0.300000	            3.500000	                   2
            0.450000	                   1	            0.300000	            3.500000	                   2
            0.550000	                   1	            0.300000	            3.500000	                   2
            0.650000	                   1	            0.300000	            3.500000	                   3
            0.250000	                   6	            0.300000	            3.500000	                   2
            0.350000	                   6	            0.300000	            3.500000	                   2
            0.450000	                   6	            0.300000	            3.500000	                   2
            0.550000	                   6	            0.300000	            3.500000	                   2
            0.650000	                   6	            0.300000	            3.500000	                   2
            0.250000	                  11	            0.300000	            3.500000	                   2
            0.350000	                  11	            0.300000	            3.500000	                   2
            0.450000	                  11	            0.300000	            3.500000	                   2
            0.550000	                  11	            0.300000	            3.500000	                   2
            0.650000	                  11	            0.300000	            3.500000	                   2
            0.250000	                  16	            0.300000	            3.500000	                   2
            0.350000	                  16	            0.300000	            3.500000	                   2
            0.450000	                  16	            0.300000	            3.500000	                   2
            0.550000	                  16	            0.300000	            3.500000	                   2
            0.650000	                  16	            0.300000	            3.500000	                   2
            0.250000	                  21	            0.300000	            3.500000	                   2
            0.350000	                  21	            0.300000	            3.500000	                   2
            0.450000	                  21	            0.300000	            3.500000	                   2
            0.550000	                  21	            0.300000	            3.500000	                   2
            0.650000	                  21	            0.300000	            3.500000	                   2
            0.250000	                  26	            0.300000	            3.500000	                   2
            0.350000	                  26	            0.300000	            3.500000	                   2
            0.450000	                  26	            0.300000	            3.500000	                   2
            0.550000	                  26	            0.300000	            3.500000	                   2
            0.650000	                  26	            0.300000	            3.500000	                   2
            0.250000	                  31	            0.300000	            3.500000	                   2
            0.350000	                  31	            0.300000	            3.500000	                   2
            0.450000	                  31	            0.300000	            3.500000	                   2
            0.550000	                  31	            0.300000	            3.500000	                   2
            0.650000	                  31	            0.300000	            3.500000	                   3
            0.250000	                  36	            0.300000	            3.500000	                   2
            0.350000	                  36	            0.300000	            3.500000	                   2
            0.450000	                  36	            0.300000	            3.500000	                   2
            0.550000	                  36	            0.300000	            3.500000	                   2
            0.650000	                  36	            0.300000	            3.500000	                   3
