             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.500000	                  10	            0.300000	            3.500000	                  28
            0.250000	                   5	            0.300000	            3.500000	                  23
            0.300000	                   5	            0.300000	            3.500000	                  25
            0.350000	                   5	            0.300000	            3.500000	                  27
            0.400000	                   5	            0.300000	            3.500000	                  28
            0.450000	                   5	            0.300000	            3.500000	                  28
            0.500000	                   5	            0.300000	            3.500000	                  28
            0.550000	                   5	            0.300000	            3.500000	                  28
            0.600000	                   5	            0.300000	            3.500000	                  28
            0.650000	                   5	            0.300000	            3.500000	                  30
            0.700000	                   5	            0.300000	            3.500000	                  34
            0.750000	                   5	            0.300000	            3.500000	                  58
            0.800000	                   5	            0.300000	            3.500000	                 111
            0.850000	                   5	            0.300000	            3.500000	                 220
            0.250000	                  10	            0.300000	            3.500000	                  22
            0.300000	                  10	            0.300000	            3.500000	                  25
            0.350000	                  10	            0.300000	            3.500000	                  28
            0.400000	                  10	            0.300000	            3.500000	                  28
            0.450000	                  10	            0.300000	            3.500000	                  28
            0.500000	                  10	            0.300000	            3.500000	                  28
            0.550000	                  10	            0.300000	            3.500000	                  28
            0.600000	                  10	            0.300000	            3.500000	                  28
            0.650000	                  10	            0.300000	            3.500000	                  30
            0.700000	                  10	            0.300000	            3.500000	                  35
            0.750000	                  10	            0.300000	            3.500000	                  54
            0.800000	                  10	            0.300000	            3.500000	                 103
            0.850000	                  10	            0.300000	            3.500000	                 219
            0.250000	                  15	            0.300000	            3.500000	                  22
            0.300000	                  15	            0.300000	            3.500000	                  24
            0.350000	                  15	            0.300000	            3.500000	                  28
            0.400000	                  15	            0.300000	            3.500000	                  28
            0.450000	                  15	            0.300000	            3.500000	                  28
            0.500000	                  15	            0.300000	            3.500000	                  28
            0.550000	                  15	            0.300000	            3.500000	                  28
            0.600000	                  15	            0.300000	            3.500000	                  28
            0.650000	                  15	            0.300000	            3.500000	                  31
            0.700000	                  15	            0.300000	            3.500000	                  35
            0.750000	                  15	            0.300000	            3.500000	                  53
            0.800000	                  15	            0.300000	            3.500000	                 104
            0.850000	                  15	            0.300000	            3.500000	                 215
            0.250000	                  20	            0.300000	            3.500000	                  23
            0.300000	                  20	            0.300000	            3.500000	                  25
            0.350000	                  20	            0.300000	            3.500000	                  28
            0.400000	                  20	            0.300000	            3.500000	                  28
            0.450000	                  20	            0.300000	            3.500000	                  28
            0.500000	                  20	            0.300000	            3.500000	                  28
            0.550000	                  20	            0.300000	            3.500000	                  28
            0.600000	                  20	            0.300000	            3.500000	                  29
            0.650000	                  20	            0.300000	            3.500000	                  31
            0.700000	                  20	            0.300000	            3.500000	                  38
            0.750000	                  20	            0.300000	            3.500000	                  51
            0.800000	                  20	            0.300000	            3.500000	                 100
            0.250000	                   5	            0.300000	            3.500000	                  23
            0.300000	                   5	            0.300000	            3.500000	                  25
            0.350000	                   5	            0.300000	            3.500000	                  27
            0.400000	                   5	            0.300000	            3.500000	                  28
            0.450000	                   5	            0.300000	            3.500000	                  28
            0.500000	                   5	            0.300000	            3.500000	                  28
            0.550000	                   5	            0.300000	            3.500000	                  28
            0.600000	                   5	            0.300000	            3.500000	                  28
            0.650000	                   5	            0.300000	            3.500000	                  30
            0.700000	                   5	            0.300000	            3.500000	                  34
            0.750000	                   5	            0.300000	            3.500000	                  58
            0.800000	                   5	            0.300000	            3.500000	                 111
            0.850000	                   5	            0.300000	            3.500000	                 220
            0.250000	                  10	            0.300000	            3.500000	                  22
            0.300000	                  10	            0.300000	            3.500000	                  25
            0.350000	                  10	            0.300000	            3.500000	                  28
            0.400000	                  10	            0.300000	            3.500000	                  28
            0.450000	                  10	            0.300000	            3.500000	                  28
            0.500000	                  10	            0.300000	            3.500000	                  28
            0.550000	                  10	            0.300000	            3.500000	                  28
            0.600000	                  10	            0.300000	            3.500000	                  28
            0.650000	                  10	            0.300000	            3.500000	                  30
            0.700000	                  10	            0.300000	            3.500000	                  35
            0.750000	                  10	            0.300000	            3.500000	                  54
            0.800000	                  10	            0.300000	            3.500000	                 103
            0.850000	                  10	            0.300000	            3.500000	                 219
            0.250000	                  15	            0.300000	            3.500000	                  22
            0.300000	                  15	            0.300000	            3.500000	                  24
            0.350000	                  15	            0.300000	            3.500000	                  28
            0.400000	                  15	            0.300000	            3.500000	                  28
            0.450000	                  15	            0.300000	            3.500000	                  28
            0.500000	                  15	            0.300000	            3.500000	                  28
            0.550000	                  15	            0.300000	            3.500000	                  28
            0.600000	                  15	            0.300000	            3.500000	                  28
            0.650000	                  15	            0.300000	            3.500000	                  31
            0.700000	                  15	            0.300000	            3.500000	                  35
            0.750000	                  15	            0.300000	            3.500000	                  53
            0.800000	                  15	            0.300000	            3.500000	                 104
            0.850000	                  15	            0.300000	            3.500000	                 215
            0.250000	                  20	            0.300000	            3.500000	                  23
            0.300000	                  20	            0.300000	            3.500000	                  25
            0.350000	                  20	            0.300000	            3.500000	                  28
            0.400000	                  20	            0.300000	            3.500000	                  28
            0.450000	                  20	            0.300000	            3.500000	                  28
            0.500000	                  20	            0.300000	            3.500000	                  28
            0.550000	                  20	            0.300000	            3.500000	                  28
            0.600000	                  20	            0.300000	            3.500000	                  29
            0.650000	                  20	            0.300000	            3.500000	                  31
            0.700000	                  20	            0.300000	            3.500000	                  38
            0.750000	                  20	            0.300000	            3.500000	                  51
            0.800000	                  20	            0.300000	            3.500000	                 100
            0.850000	                  20	            0.300000	            3.500000	                 220
            0.250000	                  25	            0.300000	            3.500000	                  23
            0.300000	                  25	            0.300000	            3.500000	                  25
            0.350000	                  25	            0.300000	            3.500000	                  28
            0.400000	                  25	            0.300000	            3.500000	                  28
            0.450000	                  25	            0.300000	            3.500000	                  28
            0.500000	                  25	            0.300000	            3.500000	                  28
            0.550000	                  25	            0.300000	            3.500000	                  28
