             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.500000	                  10	            0.300000	            3.500000	                   8
            0.250000	                   5	            0.300000	            3.500000	                   5
            0.300000	                   5	            0.300000	            3.500000	                   5
            0.350000	                   5	            0.300000	            3.500000	                   5
            0.400000	                   5	            0.300000	            3.500000	                   5
            0.450000	                   5	            0.300000	            3.500000	                   5
            0.500000	                   5	            0.300000	            3.500000	                   5
            0.550000	                   5	            0.300000	            3.500000	                   5
            0.600000	                   5	            0.300000	            3.500000	                   6
            0.650000	                   5	            0.300000	            3.500000	                   6
            0.700000	                   5	            0.300000	            3.500000	                   8
            0.750000	                   5	            0.300000	            3.500000	                  32
            0.800000	                   5	            0.300000	            3.500000	                  64
            0.850000	                   5	            0.300000	            3.500000	                 150
            0.250000	                  10	            0.300000	            3.500000	                   5
            0.300000	                  10	            0.300000	            3.500000	                   5
            0.350000	                  10	            0.300000	            3.500000	                   5
            0.400000	                  10	            0.300000	            3.500000	                   5
            0.450000	                  10	            0.300000	            3.500000	                   5
            0.500000	                  10	            0.300000	            3.500000	                   5
            0.550000	                  10	            0.300000	            3.500000	                   5
            0.600000	                  10	            0.300000	            3.500000	                   6
            0.650000	                  10	            0.300000	            3.500000	                   6
            0.700000	                  10	            0.300000	            3.500000	                  10
            0.750000	                  10	            0.300000	            3.500000	                  27
            0.800000	                  10	            0.300000	            3.500000	                  66
            0.850000	                  10	            0.300000	            3.500000	                 149
            0.250000	                  15	            0.300000	            3.500000	                   5
            0.300000	                  15	            0.300000	            3.500000	                   5
            0.350000	                  15	            0.300000	            3.500000	                   5
            0.400000	                  15	            0.300000	            3.500000	                   5
            0.450000	                  15	            0.300000	            3.500000	                   5
            0.500000	                  15	            0.300000	            3.500000	                   5
            0.550000	                  15	            0.300000	            3.500000	                   5
            0.600000	                  15	            0.300000	            3.500000	                   6
            0.650000	                  15	            0.300000	            3.500000	                   6
            0.700000	                  15	            0.300000	            3.500000	                  11
            0.750000	                  15	            0.300000	            3.500000	                  30
            0.800000	                  15	            0.300000	            3.500000	                  65
            0.850000	                  15	            0.300000	            3.500000	                 145
            0.250000	                  20	            0.300000	            3.500000	                   5
            0.300000	                  20	            0.300000	            3.500000	                   5
            0.350000	                  20	            0.300000	            3.500000	                   5
            0.400000	                  20	            0.300000	            3.500000	                   5
            0.450000	                  20	            0.300000	            3.500000	                   5
            0.500000	                  20	            0.300000	            3.500000	                   5
            0.550000	                  20	            0.300000	            3.500000	                   5
            0.600000	                  20	            0.300000	            3.500000	                   6
            0.650000	                  20	            0.300000	            3.500000	                   6
            0.700000	                  20	            0.300000	            3.500000	                  11
            0.750000	                  20	            0.300000	            3.500000	                  28
            0.800000	                  20	            0.300000	            3.500000	                  74
            0.850000	                  20	            0.300000	            3.500000	                 152
            0.250000	                  25	            0.300000	            3.500000	                   5
            0.300000	                  25	            0.300000	            3.500000	                   5
            0.350000	                  25	            0.300000	            3.500000	                   5
            0.400000	                  25	            0.300000	            3.500000	                   5
            0.450000	                  25	            0.300000	            3.500000	                   5
            0.500000	                  25	            0.300000	            3.500000	                   5
            0.550000	                  25	            0.300000	            3.500000	                   5
            0.600000	                  25	            0.300000	            3.500000	                   6
            0.650000	                  25	            0.300000	            3.500000	                   7
            0.700000	                  25	            0.300000	            3.500000	                  10
            0.750000	                  25	            0.300000	            3.500000	                  30
            0.800000	                  25	            0.300000	            3.500000	                  78
            0.850000	                  25	            0.300000	            3.500000	                 153
            0.250000	                  30	            0.300000	            3.500000	                   5
            0.300000	                  30	            0.300000	            3.500000	                   5
