             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.500000	                   1	            0.300000	            3.500000	                   9
            0.500000	                   2	            0.300000	            3.500000	                   8
            0.500000	                   3	            0.300000	            3.500000	                   8
            0.500000	                   4	            0.300000	            3.500000	                   8
            0.500000	                   5	            0.300000	            3.500000	                   8
            0.500000	                   6	            0.300000	            3.500000	                   8
            0.500000	                  10	            0.300000	            3.500000	                   8
            0.500000	                  15	            0.300000	            3.500000	                   7
            0.500000	                  20	            0.300000	            3.500000	                   8
            0.500000	                  25	            0.300000	            3.500000	                   8
            0.500000	                  30	            0.300000	            3.500000	                   8
            0.500000	                  35	            0.300000	            3.500000	                   8
            0.500000	                  25	            0.050000	            3.500000	                   7
            0.500000	                  25	            0.100000	            3.500000	                   7
            0.500000	                  25	            0.150000	            3.500000	                   7
            0.500000	                  25	            0.200000	            3.500000	                   7
            0.500000	                  25	            0.250000	            3.500000	                   7
            0.500000	                  25	            0.300000	            3.500000	                   8
            0.500000	                  25	            0.350000	            3.500000	                   8
            0.500000	                  25	            0.400000	            3.500000	                   8
            0.300000	                  25	            0.300000	            3.500000	                   6
            0.350000	                  25	            0.300000	            3.500000	                   6
            0.400000	                  25	            0.300000	            3.500000	                   7
            0.450000	                  25	            0.300000	            3.500000	                   7
            0.550000	                  25	            0.300000	            3.500000	                   8
            0.600000	                  25	            0.300000	            3.500000	                  11
            0.550000	                  25	            0.300000	            0.500000	                  33
            0.550000	                  25	            0.300000	            1.000000	                  22
            0.550000	                  25	            0.300000	            1.500000	                  18
            0.550000	                  25	            0.300000	            2.000000	                  15
            0.550000	                  25	            0.300000	            2.500000	                  12
            0.550000	                  25	            0.300000	            3.000000	                   8
            0.550000	                  25	            0.300000	            3.500000	                   8
            0.550000	                  25	            0.300000	            4.000000	                   8
            0.550000	                  25	            0.300000	            4.500000	                   8
            0.550000	                  25	            0.300000	            5.000000	                   8
