             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.500000	                  10	            0.300000	            3.500000	                  31
            0.300000	                  25	            0.300000	            5.000000	                  30
            0.350000	                  25	            0.300000	            5.000000	                  31
            0.400000	                  25	            0.300000	            5.000000	                  31
            0.450000	                  25	            0.300000	            5.000000	                  31
            0.500000	                  25	            0.300000	            5.000000	                  31
            0.550000	                  25	            0.300000	            5.000000	                  31
            0.600000	                  25	            0.300000	            5.000000	                  32
            0.650000	                  25	            0.300000	            5.000000	                  34
            0.700000	                  25	            0.300000	            5.000000	                  39
            0.325000	                  25	            0.300000	            5.000000	                  30
            0.375000	                  25	            0.300000	            5.000000	                  31
            0.425000	                  25	            0.300000	            5.000000	                  31
            0.475000	                  25	            0.300000	            5.000000	                  31
            0.525000	                  25	            0.300000	            5.000000	                  31
            0.575000	                  25	            0.300000	            5.000000	                  32
            0.625000	                  25	            0.300000	            5.000000	                  32
            0.675000	                  25	            0.300000	            5.000000	                  36
            0.560000	                  25	            0.300000	            5.000000	                  31
            0.550000	                  25	            0.300000	            0.500000	                  40
            0.550000	                  25	            0.300000	            1.000000	                  38
            0.550000	                  25	            0.300000	            1.500000	                  33
            0.550000	                  25	            0.300000	            2.000000	                  32
            0.550000	                  25	            0.300000	            2.500000	                  32
            0.550000	                  25	            0.300000	            2.750000	                  32
            0.550000	                  25	            0.300000	            3.000000	                  31
            0.550000	                  25	            0.300000	            3.250000	                  31
            0.550000	                  25	            0.300000	            3.500000	                  31
            0.550000	                  25	            0.300000	            3.750000	                  31
            0.550000	                  25	            0.300000	            4.000000	                  31
            0.550000	                  25	            0.300000	            4.250000	                  31
            0.550000	                  25	            0.300000	            4.300000	                  31
            0.550000	                  25	            0.300000	            4.350000	                  31
            0.550000	                  25	            0.300000	            4.400000	                  31
            0.550000	                  25	            0.300000	            4.450000	                  31
            0.550000	                  25	            0.300000	            4.500000	                  31
            0.550000	                  25	            0.300000	            4.550000	                  31
            0.550000	                  25	            0.300000	            4.600000	                  31
            0.550000	                  25	            0.300000	            4.650000	                  31
            0.550000	                  25	            0.300000	            4.700000	                  31
            0.550000	                  25	            0.300000	            4.750000	                  31
            0.550000	                  25	            0.300000	            4.800000	                  31
            0.550000	                  25	            0.300000	            4.850000	                  31
            0.550000	                  25	            0.300000	            4.900000	                  31
            0.550000	                  25	            0.300000	            4.950000	                  31
            0.550000	                  25	            0.300000	            5.000000	                  31
            0.550000	                  11	            0.300000	            4.000000	                  31
            0.550000	                  12	            0.300000	            4.000000	                  31
            0.550000	                  13	            0.300000	            4.000000	                  31
            0.550000	                  14	            0.300000	            4.000000	                  31
            0.550000	                  16	            0.300000	            4.000000	                  31
            0.550000	                  17	            0.300000	            4.000000	                  31
            0.550000	                  18	            0.300000	            4.000000	                  31
            0.550000	                  19	            0.300000	            4.000000	                  31
            0.550000	                  21	            0.300000	            4.000000	                  31
            0.550000	                  22	            0.300000	            4.000000	                  31
            0.550000	                  23	            0.300000	            4.000000	                  31
            0.550000	                  24	            0.300000	            4.000000	                  31
            0.550000	                  26	            0.300000	            4.000000	                  31
            0.550000	                  27	            0.300000	            4.000000	                  31
            0.550000	                  28	            0.300000	            4.000000	                  31
            0.550000	                  29	            0.300000	            4.000000	                  31
            0.550000	                  31	            0.300000	            4.000000	                  31
            0.550000	                  32	            0.300000	            4.000000	                  31
            0.550000	                  33	            0.300000	            4.000000	                  31
            0.550000	                  34	            0.300000	            4.000000	                  31
            0.550000	                  36	            0.300000	            4.000000	                  31
            0.550000	                  37	            0.300000	            4.000000	                  31
            0.550000	                  38	            0.300000	            4.000000	                  31
            0.550000	                  39	            0.300000	            4.000000	                  31
            0.550000	                  41	            0.300000	            4.000000	                  32
            0.550000	                  42	            0.300000	            4.000000	                  32
            0.550000	                  43	            0.300000	            4.000000	                  32
            0.550000	                  44	            0.300000	            4.000000	                  32
            0.550000	                  44	            0.300000	            4.000000	                  32
            0.550000	                  46	            0.300000	            4.000000	                  32
            0.550000	                  47	            0.300000	            4.000000	                  32
            0.550000	                  48	            0.300000	            4.000000	                  32
            0.550000	                  49	            0.300000	            4.000000	                  32
            0.550000	                  50	            0.300000	            4.000000	                  32
            0.550000	                  50	            0.300000	            4.000000	                  32
            0.550000	                  25	            0.075000	            4.000000	                  31
            0.550000	                  25	            0.125000	            4.000000	                  31
            0.550000	                  25	            0.175000	            4.000000	                  31
            0.550000	                  25	            0.225000	            4.000000	                  31
            0.550000	                  25	            0.275000	            4.000000	                  31
            0.550000	                  25	            0.325000	            4.000000	                  31
            0.550000	                  25	            0.320000	            4.000000	                  31
            0.550000	                  25	            0.315000	            4.000000	                  31
            0.550000	                  25	            0.335000	            4.000000	                  31
            0.550000	                  25	            0.375000	            4.000000	                  31
            0.550000	                  25	            0.380000	            4.000000	                  31
            0.550000	                  25	            0.390000	            4.000000	                  31
            0.550000	                  25	            0.410000	            4.000000	                  31
            0.550000	                  25	            0.412500	            4.000000	                  31
            0.550000	                  25	            0.425000	            4.000000	                  31
            0.550000	                  25	            0.430000	            4.000000	                  31
            0.550000	                  25	            0.475000	            4.000000	                  31
